OBJECTID,lat,long,hoverText,heading,weeklyImpr,productTyp,POINT_X,POINT_Y
1,33.434264,-111.905819,LOOP 202 S/L JST W/O LOOP 101 #1 (02-1W),W,624098,BULLETINS,-12457298.79,3953088.126
2,33.434264,-111.905819,LOOP 202 S/L JST W/O LOOP 101 #1 (02-1E),E,486407,BULLETINS,-12457298.79,3953088.126
3,33.434756,-111.90245,LOOP 202 JUST W/O LOOP 101 #3 (01-3E),E,238586,Digital,-12456923.75,3953153.756
4,33.434756,-111.90245,LOOP 202 JUST W/O LOOP 101 #3 (01-3W),W,298238,Digital,-12456923.75,3953153.756
5,33.434829,-111.900795,LOOP 202 JUST W/O LOOP 101 #4 (01-4E),E,238586,Digital,-12456739.52,3953163.494
6,33.434829,-111.900795,LOOP 202 JUST W/O LOOP 101 #4 (01-4W),W,298238,Digital,-12456739.52,3953163.494
7,33.30614,-111.7213,HIGLEY W/L 200' S/O WILLIAMS F RD(02-7N),N,28883,BULLETINS,-12436758.23,3936009.785
8,33.30614,-111.7213,HIGLEY W/L 200' S/O WILLIAMS F RD(02-7S),S,22886,BULLETINS,-12436758.23,3936009.785
9,33.581431,-112.116158,I-17 EL @ PEORIA (02-8N),N,746449,BULLETINS,-12480713.62,3972735.959
10,33.581431,-112.116158,I-17 EL @ PEORIA (02-8S),S,783043,BULLETINS,-12480713.62,3972735.959
11,33.688194,-112.048142,DEER VALLEY RD NL & 16TH ST (02-9E),E,93268,BULLETINS,-12473142.11,3987010.548
12,33.688194,-112.048142,DEER VALLEY RD NL & 16TH ST (02-9W),W,75644,BULLETINS,-12473142.11,3987010.548
13,33.580688,-112.013379,32ND ST W/L 600' S/O SHEA (02-10N),N,72278,BULLETINS,-12469272.31,3972636.679
14,33.20556,-111.8398,ARIZONA AVE EL 500' N/O HUNT HWY(02-12S),S,28456,BULLETINS,-12449949.59,3922620.509
15,33.20556,-111.8398,ARIZONA AVE EL 500' N/O HUNT HWY(02-12N),N,22780,BULLETINS,-12449949.59,3922620.509
16,33.46513,-112.4787,195TH AVE EL @ MCDOWELL RD (02-14N),N,10149,BULLETINS,-12521071.61,3957206.188
17,33.46513,-112.4787,195TH AVE EL @ MCDOWELL RD (02-14S),S,12071,BULLETINS,-12521071.61,3957206.188
18,33.771088,-111.981558,CAVE CREEK W/L @ LONE MTN ROAD (02-4N),N,31885,BULLETINS,-12465730.01,3998105.998
19,33.771088,-111.981558,CAVE CREEK W/L @ LONE MTN ROAD (02-4S),S,19442,BULLETINS,-12465730.01,3998105.998
20,33.588813,-112.116348,I-17 E/L 1/2 MI S/O CACTUS (02-6N),N,294607,Digital,-12480734.77,3973722.39
21,33.588813,-112.116348,I-17 E/L 1/2 MI S/O CACTUS (02-6S),S,366149,Digital,-12480734.77,3973722.39
22,33.21127,-111.677,SANTAN BLVD SL BTWN POWER&SOSSMN(02-19E),E,6889,BULLETINS,-12431826.77,3923380.215
23,33.21127,-111.677,SANTAN BLVD SL BTWN POWER&SOSSMN(02-19W),W,9022,BULLETINS,-12431826.77,3923380.215
24,33.37708,-112.178117,BASELINE S/L @ 55TH AVE (02-22E),E,36806,BULLETINS,-12487610.86,3945462.653
25,33.37708,-112.178117,BASELINE S/L @ 55TH AVE (02-22W),W,50136,BULLETINS,-12487610.86,3945462.653
